port_all,key,longitude,latitude
ALGECIRAS,PORT-0001,-5.4549,36.1408
JEBEL ALI,PORT-0002,55.1413,25.0481
KARACHI,PORT-0003,67.0011,24.8607
KARACHI ANCH,PORT-0004,67.0519,24.7737
KHALIFA,PORT-0005,54.4163,24.4799
KPT,PORT-0006,68.0011,25.8607
Khalifa,PORT-0007,54.4163,24.4799
MUMBAI,PORT-0008,72.8258,18.975
MUNDRA,PORT-0009,69.8987,22.8415
PORT QASIM,PORT-0010,67.9787,25.7741
PQA,PORT-0011,66.9787,24.7741
SALALAH,PORT-0013,54.0923,17.0181
SHARJAH,PORT-0014,55.3801,25.3482
SOHAR,PORT-0015,56.9519,24.3525
SPM,PORT-0016,66.981445,24.835596
UMM QASR,PORT-0017,47.8185,30.0678
