port_all,key,longitude,latitude
ABU DHABI,PORT-0001,54.3773,24.4539
ADEN,PORT-0002,45.0262,12.7855
AL ADABIYAH,PORT-0003,48.1407,29.3314
AL JUBAIL,PORT-0005,49.5,27.0
AL SUWAYQ,PORT-0006,56.6486,23.7225
ALGECIRAS,PORT-0007,-5.4549,36.1408
ANNABA,PORT-0008,7.763,36.8661
BONNY,PORT-0010,7.1873,4.4591
BURNSIDE,PORT-0011,-118.2252,33.8954
CASABLANCA,PORT-0012,-7.5898,33.5731
COLOMBO,PORT-0013,79.8612,6.9271
CONVENT,PORT-0014,-81.1326,29.6656
DAHEJ,PORT-0015,72.3993,20.6891
DAMMAM,PORT-0016,49.9777,26.4207
DUBAI,PORT-0018,55.296249,25.276987
FANGCHENG,PORT-0022,108.3586,21.7001
FUJAIRAH,PORT-0023,56.3285,25.105
HAZIRA,PORT-0028,72.3654,21.0475
JEBEL ALI,PORT-0030,55.1413,25.0481
JINGTANG,PORT-0031,113.5423,22.1305
JORF LASFAR,PORT-0032,-8.4478,33.215
KAKINADA,PORT-0033,82.2473,16.9891
KANDLA,PORT-0034,70.2197,23.0394
KARACHI,PORT-0035,67.0011,24.8607
KARACHI ANCH,PORT-0036,67.0519,24.7737
KARIANGAU,PORT-0037,117.5375,-0.4572
KHALIFA,PORT-0038,54.4163,24.4799
KHOR AL ZUBAIR,PORT-0039,48.4631,29.2012
KHOR FAKKAN,PORT-0040,56.34,25.3325
KPT,PORT-0041,68.0011,25.8607
KWINANA,PORT-0043,115.7422,-32.2207
Khalifa,PORT-0044,54.4163,24.4799
MANGALORE,PORT-0046,74.8553,12.9141
MAPUTO,PORT-0048,32.5892,-25.965
MINA ABD ALLAH,PORT-0050,48.2683,28.9833
MTWARA,PORT-0051,40.1743,-10.2348
MULDWARKA,PORT-0052,71.45,21.9833
MUMBAI,PORT-0053,72.8258,18.975
MUNDRA,PORT-0054,69.8987,22.8415
NAVLAKHI ANCH,PORT-0056,69.6356,22.5802
NHAVA SHEVA,PORT-0057,72.9677,18.9295
NORFOLK,PORT-0058,-76.2859,36.8508
PIPAVAV,PORT-0060,71.4521,20.9433
PORT KLANG,PORT-0061,101.4543,3.031
PORT QASIM,PORT-0064,67.9787,25.7741
PQA,PORT-0066,66.9787,24.7741
RAS AL KHAIR,PORT-0067,49.0778,27.0075
RAS LAFFAN,PORT-0068,51.5865,25.945
RAS TANURA,PORT-0069,50.1491,26.5511
ROSARIO,PORT-0071,-60.6393,-32.9575
SALALAH,PORT-0072,54.0923,17.0181
SAN LORENZO,PORT-0073,-60.0769,-33.0308
SAVANNAH,PORT-0074,-81.0998,32.0836
SHANGHAI,PORT-0075,121.4737,31.2304
SHARJAH,PORT-0076,55.3801,25.3482
SHARJAH ANCH,PORT-0077,55.3964,25.3321
SHUAIBA,PORT-0078,48.095,28.9333
SIMAISMA,PORT-0079,51.4295,25.2646
SINGAPORE,PORT-0080,103.8198,1.3521
SINGAPORE ANCH,PORT-0081,103.8239,1.265
SOHAR,PORT-0082,56.9519,24.3525
SPM,PORT-0083,66.981445,24.835596
SPM KARACHI,PORT-0084,67.022,24.88
TABONEO ANCH,PORT-0086,106.104,2.55
TENERIFE,PORT-0088,-16.629,28.2916
UMM QASR,PORT-0091,47.8185,30.0678
YANBU INDUSTRIAL,PORT-0094,38.0637,24.0885
YEOSU,PORT-0097,127.666,34.7606
ZHANJIANG,PORT-0098,110.3657,21.2715
ZIRKU TANKER ANCH,PORT-0099,54.0195,24.8632
