IMO,NAME,TYPE,FLAG,ARRIV/TIME,BERTH,LPOC,NPOC,PORT,ARRI/DATE
9339856,APL MEXICO CITY,CONTAINER SHIP,SINGAPORE,1135,SAPT-2,SHARJAH,KARACHI,KPT,2/10/2024
9285471,OCEAN WEALTH,BULK CARRIER,PANAMA,1545,EW-16+17,SOHAR,KARACHI,KPT,2/10/2024
9896971,CS CALLA,BULK CARRIER,BAHAMAS,1645,EW-14+15,KARACHI ANCH,KARACHI,KPT,2/10/2024
9525352,KMTC CHENNAI,CONTAINER SHIP,KOREA,2350,SAPT+4,JEBEL ALI,KARACHI,KPT,2/10/2024
9175767,AL AREESH,LNG TANKER,BAHAMAS,1005,PGPCL,SALALAH,PORT QASIM,PQA,2/10/2024
9359894,CENTURION SIGNIFER,BULK CARRIER,PANAMA,1110,PIBT,KHALIFA,PORT QASIM,PQA,2/10/2024
9111371,MAERSK CABO VERDE,CONTAINER SHIP,HONG KONG,1515,QICT-8,ALGECIRAS,PORT QASIM,PQA,2/10/2024
9111371,HYUNDIA FAITH,CONTAINER SHIP,MARSHALL ISLANDS,1124,SAPT-4,ALGECIRAS,PORT QASIM,KPT,4/10/2024
9111371,BIG LILLY,CONTAINER SHIP,MARSHALL ISLANDS,1200,EW-7+8,ALGECIRAS,PORT QASIM,KPT,4/10/2024
9111371,MSC PALAK,CONTAINER SHIP,PORTUGAL,1530,SAPT-2,ALGECIRAS,PORT QASIM,KPT,4/10/2024
9111371,BOSON,CONTAINER SHIP,ST KITTS NEVIS,1600,EW-6+7,ALGECIRAS,PORT QASIM,KPT,4/10/2024
9111371,GFS RUBY,CONTAINER SHIP,SINGAPORE,2330,EW-8+9,ALGECIRAS,PORT QASIM,KPT,4/10/2024
9111371,EVER ULYSSES,CONTAINER SHIP,SINGAPORE,2330,SAPT-3,ALGECIRAS,PORT QASIM,KPT,4/10/2024
9111371,AL DEEBLE  ,LNG TANKER ,BAHAMAS ,1245,EETL,ALGECIRAS,PORT QASIM,PQA,4/10/2024
9111371,PEPPINO,BULK CARRIER,MALTA,1424,MW-2,ALGECIRAS,PORT QASIM,PQA,4/10/2024
9111371,APL MEXICO CITY,CONTAINER SHIP,SINGAPORE,1815,QICT-8,ALGECIRAS,PORT QASIM,PQA,4/10/2024
9111371,TBC MJ,CHEMICAL TANKER,PANAMA,1835,LCT,ALGECIRAS,PORT QASIM,PQA,4/10/2024
9111371,SIVAS,CRUDE OIL TANKER,PANAMA,030806 OCT,SPM,ALGECIRAS,PORT QASIM,SPM,4/10/2024
9305673,HYUNDIA TOKYO,CONTAINER SHIP,CYPRUS,945,SAPT-4,ALGECIRAS,KARACHI,KPT,5/10/2024
9514353,SERENE SKY,CONTAINER SHIP,PANAMA,1820,EW-11+12,MUNDRA,KARACHI,KPT,5/10/2024
