IMO,NAME,TYPE,FLAG,ARRIV/TIME,BERTH,LPOC,NPOC,PORT,ARRI/DATE
9339856,APL MEXICO CITY,CONTAINER SHIP,SINGAPORE,1135,SAPT-2,PORT-0014,KARACHI,PORT-0006,2/10/2024
9285471,OCEAN WEALTH,BULK CARRIER,PANAMA,1545,EW-16+17,PORT-0015,KARACHI,PORT-0006,2/10/2024
9896971,CS CALLA,BULK CARRIER,BAHAMAS,1645,EW-14+15,PORT-0004,KARACHI,PORT-0006,2/10/2024
9525352,KMTC CHENNAI,CONTAINER SHIP,KOREA,2350,SAPT+4,PORT-0002,KARACHI,PORT-0006,2/10/2024
9175767,AL AREESH,LNG TANKER,BAHAMAS,1005,PGPCL,PORT-0013,PORT QASIM,PORT-0011,2/10/2024
9359894,CENTURION SIGNIFER,BULK CARRIER,PANAMA,1110,PIBT,PORT-0005,PORT QASIM,PORT-0011,2/10/2024
9111371,MAERSK CABO VERDE,CONTAINER SHIP,HONG KONG,1515,QICT-8,PORT-0001,PORT QASIM,PORT-0011,2/10/2024
9111371,HYUNDIA FAITH,CONTAINER SHIP,MARSHALL ISLANDS,1124,SAPT-4,PORT-0001,PORT QASIM,PORT-0006,4/10/2024
9111371,BIG LILLY,CONTAINER SHIP,MARSHALL ISLANDS,1200,EW-7+8,PORT-0001,PORT QASIM,PORT-0006,4/10/2024
9111371,MSC PALAK,CONTAINER SHIP,PORTUGAL,1530,SAPT-2,PORT-0001,PORT QASIM,PORT-0006,4/10/2024
9111371,BOSON,CONTAINER SHIP,ST KITTS NEVIS,1600,EW-6+7,PORT-0001,PORT QASIM,PORT-0006,4/10/2024
9111371,GFS RUBY,CONTAINER SHIP,SINGAPORE,2330,EW-8+9,PORT-0001,PORT QASIM,PORT-0006,4/10/2024
9111371,EVER ULYSSES,CONTAINER SHIP,SINGAPORE,2330,SAPT-3,PORT-0001,PORT QASIM,PORT-0006,4/10/2024
9111371,TBC MJ,CHEMICAL TANKER,PANAMA,1835,LCT,PORT-0001,PORT QASIM,PORT-0011,4/10/2024
9111371,SIVAS,CRUDE OIL TANKER,PANAMA,030806 OCT,SPM,PORT-0001,PORT QASIM,PORT-0016,4/10/2024
9305673,HYUNDIA TOKYO,CONTAINER SHIP,CYPRUS,945,SAPT-4,PORT-0001,KARACHI,PORT-0006,5/10/2024
9514353,SERENE SKY,CONTAINER SHIP,PANAMA,1820,EW-11+12,PORT-0009,KARACHI,PORT-0006,5/10/2024
9305881,MERATUS JAYAWIJAYA,CONTAINER SHIP,PANAMA,1815,QICT-8,PORT-0013,PORT QASIM,PORT-0011,5/10/2024
9503990,EQUINOX GALINI,BULK CARRIER,CAYMAN ISLANDS,1845,EW-13+14,PORT-0017,KARACHI,PORT-0006,7/10/2024
9498236,SUNDA,BULK CARRIER,LIBERIA,1330,MW-2,PORT-0008,PORT QASIM,PORT-0011,7/10/2024
9440497,ALIGOTE,OIL/CHEMICAL TANKER,MARSHALL ISLANDS,1900,FOTCO,PORT-0003,PORT QASIM,PORT-0011,7/10/2024
9399222,CMA CGM TITAN,CONTAINER SHIP,MALTA,135,SAPT-4,PORT-0007,KARACHI,PORT-0006,10/8/2024
8357485,XIN LONG YUN 55,GENERAL CARGO,PANAMA,1300,WW-26+27,PORT-0002,KARACHI,PORT-0006,10/8/2024
9450301,NORTHERN PRACTISE,CONTAINER SHIP,LIBERIA,1355,WW-28+29,PORT-0002,KARACHI,PORT-0006,10/8/2024
