IMO,NAME,TYPE,FLAG,ARRIV/TIME,BERTH,LPOC,NPOC,PORT,ARRI/DATE
9339856,APL MEXICO CITY,CONTAINER SHIP,SINGAPORE,1135,SAPT-2,PORT-0076,KARACHI,PORT-0041,2/10/2024
9285471,OCEAN WEALTH,BULK CARRIER,PANAMA,1545,EW-16+17,PORT-0082,KARACHI,PORT-0041,2/10/2024
9896971,CS CALLA,BULK CARRIER,BAHAMAS,1645,EW-14+15,PORT-0036,KARACHI,PORT-0041,2/10/2024
9525352,KMTC CHENNAI,CONTAINER SHIP,KOREA,2350,SAPT+4,PORT-0030,KARACHI,PORT-0041,2/10/2024
9175767,AL AREESH,LNG TANKER,BAHAMAS,1005,PGPCL,PORT-0072,PORT QASIM,PORT-0066,2/10/2024
9359894,CENTURION SIGNIFER,BULK CARRIER,PANAMA,1110,PIBT,PORT-0038,PORT QASIM,PORT-0066,2/10/2024
9111371,MAERSK CABO VERDE,CONTAINER SHIP,HONG KONG,1515,QICT-8,PORT-0007,PORT QASIM,PORT-0066,2/10/2024
9111371,HYUNDIA FAITH,CONTAINER SHIP,MARSHALL ISLANDS,1124,SAPT-4,PORT-0007,PORT QASIM,PORT-0041,4/10/2024
9111371,BIG LILLY,CONTAINER SHIP,MARSHALL ISLANDS,1200,EW-7+8,PORT-0007,PORT QASIM,PORT-0041,4/10/2024
9111371,MSC PALAK,CONTAINER SHIP,PORTUGAL,1530,SAPT-2,PORT-0007,PORT QASIM,PORT-0041,4/10/2024
9111371,BOSON,CONTAINER SHIP,ST KITTS NEVIS,1600,EW-6+7,PORT-0007,PORT QASIM,PORT-0041,4/10/2024
9111371,GFS RUBY,CONTAINER SHIP,SINGAPORE,2330,EW-8+9,PORT-0007,PORT QASIM,PORT-0041,4/10/2024
9111371,EVER ULYSSES,CONTAINER SHIP,SINGAPORE,2330,SAPT-3,PORT-0007,PORT QASIM,PORT-0041,4/10/2024
